,0,1,2,3,4,5,6,7,8
0,8629371,5,56581,27538,0.99,60,0.01,26,0.0
,0,1,2,3,4,5,6,7,8
0,63098027703,5,25539,4540,0.97,64,0.018,57,0.012
,0,1,2,3,4,5,6,7,8
0,54517515197,5,4444,933,0.99,6,0.009,1,0.001
,0,1,2,3,4,5,6,7,8
0,100010504780,5,14551,3393,0.99,17,0.006,14,0.004
,0,1,2,3,4,5,6,7,8
0,1158163,5,33838,21576,0.99,56,0.009,22,0.001
,0,1,2,3,4,5,6,7,8
0,100001529703,5,311752,131718,0.99,405,0.009,158,0.001
,0,1,2,3,4,5,6,7,8
0,100000451531,5,714023,233282,0.99,695,0.009,416,0.001
,0,1,2,3,4,5,6,7,8
0,548353,5,203622,116772,0.99,280,0.009,120,0.001
,0,1,2,3,4,5,6,7,8
0,100010138044,5,399623,167687,0.99,459,0.009,277,0.001
,0,1,2,3,4,5,6,7,8
0,36824168123,5,27,7,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10024301649810,5,1811,366,0.93,15,0.047,9,0.023
,0,1,2,3,4,5,6,7,8
0,45199218657,5,23558,4844,0.98,35,0.007,37,0.013
,0,1,2,3,4,5,6,7,8
0,10024823081482,5,990,190,0.98,0,0.0,2,0.02
,0,1,2,3,4,5,6,7,8
0,10024301650711,5,1810,365,0.93,15,0.047,9,0.023
,0,1,2,3,4,5,6,7,8
0,781921,5,57708,25416,0.99,84,0.008,61,0.002
,0,1,2,3,4,5,6,7,8
0,10024977779576,5,788,84,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,5464165,5,674385,375536,0.99,727,0.01,341,0.0
,0,1,2,3,4,5,6,7,8
0,4476753,5,182227,107581,0.99,299,0.009,149,0.001
,0,1,2,3,4,5,6,7,8
0,49074953169,5,120,36,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,8763537,5,385318,234962,0.99,526,0.009,274,0.001
,0,1,2,3,4,5,6,7,8
0,1905091,5,135286,89099,0.99,458,0.008,185,0.002
,0,1,2,3,4,5,6,7,8
