,0,1,2,3,4,5,6,7,8
,0,1,2,3,4,5,6,7,8
0,100016778060,5,18692,3205,0.98,16,0.004,17,0.016
,0,1,2,3,4,5,6,7,8
0,4023843,5,38990,18274,0.99,29,0.01,15,0.0
,0,1,2,3,4,5,6,7,8
0,10024691526926,5,23113,10862,0.99,40,0.007,38,0.003
,0,1,2,3,4,5,6,7,8
0,2439487,5,14116,8427,0.98,61,0.014,53,0.006
,0,1,2,3,4,5,6,7,8
0,2438528,5,88126,51488,0.99,215,0.008,123,0.002
,0,1,2,3,4,5,6,7,8
0,57591310118,5,27142,8711,0.97,72,0.008,131,0.022
,0,1,2,3,4,5,6,7,8
0,11526512394,5,13470,12056,0.98,56,0.004,71,0.016
,0,1,2,3,4,5,6,7,8
0,25692685930,5,53027,25629,0.99,71,0.009,37,0.001
,0,1,2,3,4,5,6,7,8
0,50690488800,5,4830,1684,0.97,27,0.017,23,0.013
,0,1,2,3,4,5,6,7,8
0,100001333074,5,68570,20532,0.98,243,0.013,158,0.007
,0,1,2,3,4,5,6,7,8
0,100008027163,5,8793,1616,0.97,22,0.023,13,0.007
,0,1,2,3,4,5,6,7,8
0,100005852487,5,9822,2273,0.99,10,0.004,12,0.006
,0,1,2,3,4,5,6,7,8
0,31808999361,5,58803,16647,0.98,148,0.012,140,0.008
,0,1,2,3,4,5,6,7,8
0,59089809406,5,6473,1691,0.96,23,0.013,31,0.027
,0,1,2,3,4,5,6,7,8
0,2438518,5,88121,51483,0.99,215,0.008,123,0.002
,0,1,2,3,4,5,6,7,8
0,31845057775,5,58806,16650,0.98,148,0.012,140,0.008
,0,1,2,3,4,5,6,7,8
0,2676346,5,88128,51490,0.99,215,0.008,123,0.002
,0,1,2,3,4,5,6,7,8
0,1,4,1,1,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,66643043295,5,297,58,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10024982949751,5,540,76,0.98,0,0.0,1,0.02
,0,1,2,3,4,5,6,7,8
0,41288469887,5,20729,4467,0.96,58,0.012,108,0.028
,0,1,2,3,4,5,6,7,8
0,59542471597,5,4720,2608,0.99,14,0.007,9,0.003
,0,1,2,3,4,5,6,7,8
0,33010207648,5,9734,3437,0.98,20,0.005,21,0.015
,0,1,2,3,4,5,6,7,8
0,14439183564,5,3179,1821,0.97,20,0.02,20,0.01
,0,1,2,3,4,5,6,7,8
0,10023628637637,5,18717,3019,0.99,15,0.007,12,0.003
,0,1,2,3,4,5,6,7,8
0,65993513682,5,487,106,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,100000694594,5,36941,8483,0.97,102,0.019,101,0.011
,0,1,2,3,4,5,6,7,8
0,100008027133,5,29332,9233,0.99,44,0.006,42,0.004
,0,1,2,3,4,5,6,7,8
0,10020342328383,5,20818,5657,0.96,94,0.016,102,0.024
,0,1,2,3,4,5,6,7,8
0,100008495826,5,30250,5574,0.97,98,0.024,39,0.006
,0,1,2,3,4,5,6,7,8
0,66646224135,5,405,85,0.97,1,0.019,1,0.011
,0,1,2,3,4,5,6,7,8
0,10024097990796,5,1183,498,0.98,3,0.005,6,0.015
,0,1,2,3,4,5,6,7,8
0,10032093236,5,4954,3080,0.96,53,0.016,58,0.024
,0,1,2,3,4,5,6,7,8
0,2428182,5,88127,51489,0.99,215,0.008,123,0.002
,0,1,2,3,4,5,6,7,8
0,100009233535,5,4898,693,0.99,1,0.001,6,0.009
,0,1,2,3,4,5,6,7,8
0,100006295123,5,5104,671,0.96,18,0.03,7,0.01
,0,1,2,3,4,5,6,7,8
0,1178877,5,705240,474284,0.99,1662,0.008,1026,0.002
,0,1,2,3,4,5,6,7,8
0,58567289342,5,742,191,0.96,3,0.025,3,0.015
,0,1,2,3,4,5,6,7,8
0,100010791802,5,1886,250,0.99,0,0.0,2,0.01
,0,1,2,3,4,5,6,7,8
0,529872,5,14815,10243,0.97,196,0.022,94,0.008
,0,1,2,3,4,5,6,7,8
0,100009491518,5,39012,29588,0.98,348,0.014,201,0.006
,0,1,2,3,4,5,6,7,8
0,61093938953,5,4052,814,0.99,4,0.006,4,0.004
,0,1,2,3,4,5,6,7,8
0,10022238461271,5,5061,861,0.99,3,0.003,5,0.007
,0,1,2,3,4,5,6,7,8
0,100009838407,5,2837,576,0.98,5,0.015,3,0.005
,0,1,2,3,4,5,6,7,8
0,65393449366,5,423,129,0.98,0,0.0,2,0.02
,0,1,2,3,4,5,6,7,8
0,64259634804,5,5241,808,0.98,7,0.014,5,0.006
,0,1,2,3,4,5,6,7,8
0,100005343209,5,39012,29588,0.98,348,0.014,201,0.006
,0,1,2,3,4,5,6,7,8
0,100017621182,5,49,8,0.88,0,0.0,1,0.12
,0,1,2,3,4,5,6,7,8
0,539384,5,614756,309652,0.99,742,0.009,450,0.001
,0,1,2,3,4,5,6,7,8
0,100016269804,5,4897,692,0.98,1,0.001,6,0.019
,0,1,2,3,4,5,6,7,8
0,30305196531,5,7645,2817,0.98,36,0.014,19,0.006
,0,1,2,3,4,5,6,7,8
0,72408625588,5,284,183,0.99,0,0.0,1,0.01
,0,1,2,3,4,5,6,7,8
0,26870252438,5,1945,1298,0.98,6,0.004,13,0.016
,0,1,2,3,4,5,6,7,8
0,64259634804,5,5241,808,0.98,7,0.014,5,0.006
,0,1,2,3,4,5,6,7,8
0,326463,5,599046,486215,0.99,2321,0.008,1123,0.002
,0,1,2,3,4,5,6,7,8
0,100009838407,5,2837,576,0.98,5,0.015,3,0.005
,0,1,2,3,4,5,6,7,8
0,100005343451,5,39013,29589,0.98,348,0.014,201,0.006
,0,1,2,3,4,5,6,7,8
0,100017020534,5,586019,112532,0.98,1465,0.016,491,0.004
,0,1,2,3,4,5,6,7,8
0,27514931764,5,3504,1900,0.98,12,0.006,14,0.014
,0,1,2,3,4,5,6,7,8
0,2948253,5,53566,12832,0.98,93,0.018,37,0.002
,0,1,2,3,4,5,6,7,8
0,1315190712,5,383,164,0.98,1,0.005,2,0.015
,0,1,2,3,4,5,6,7,8
0,100005343215,5,39007,29584,0.98,347,0.014,201,0.006
,0,1,2,3,4,5,6,7,8
0,62655493142,5,3786,749,0.97,11,0.021,7,0.009
,0,1,2,3,4,5,6,7,8
0,10845786140,5,88998,24354,0.97,325,0.012,377,0.018
,0,1,2,3,4,5,6,7,8
0,100007163709,5,18951,3113,0.98,25,0.007,31,0.013
,0,1,2,3,4,5,6,7,8
0,47691986394,5,1476,372,0.93,9,0.022,16,0.048
,0,1,2,3,4,5,6,7,8
0,57973107127,5,637,145,0.97,1,0.006,2,0.024
,0,1,2,3,4,5,6,7,8
0,1239538,5,637234,305374,0.99,568,0.01,283,0.0
,0,1,2,3,4,5,6,7,8
0,100005705697,5,3241,647,0.97,13,0.021,6,0.009
,0,1,2,3,4,5,6,7,8
0,60171135328,5,6864,1244,0.97,21,0.017,17,0.013
,0,1,2,3,4,5,6,7,8
0,62813786365,5,1123,382,0.95,4,0.01,13,0.04
,0,1,2,3,4,5,6,7,8
0,10024321380144,5,108,43,0.97,0,0.0,1,0.03
,0,1,2,3,4,5,6,7,8
0,1178899,5,927093,573758,0.98,3978,0.015,3054,0.005
,0,1,2,3,4,5,6,7,8
0,65102048126,5,80214,16692,0.95,430,0.034,293,0.016
,0,1,2,3,4,5,6,7,8
0,72496282906,5,4800,1638,0.97,17,0.01,28,0.02
,0,1,2,3,4,5,6,7,8
0,7606906,5,37815,14072,0.98,94,0.015,84,0.005
,0,1,2,3,4,5,6,7,8
0,10026144527893,5,2592,587,0.98,5,0.015,3,0.005
,0,1,2,3,4,5,6,7,8
0,10568756543,5,15320,10162,0.99,48,0.006,47,0.004
,0,1,2,3,4,5,6,7,8
0,1,4,1,1,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,6161958,5,103917,58276,0.98,285,0.004,381,0.016
,0,1,2,3,4,5,6,7,8
0,7606906,5,37815,14072,0.98,94,0.015,84,0.005
,0,1,2,3,4,5,6,7,8
0,10568756543,5,15320,10162,0.99,48,0.006,47,0.004
,0,1,2,3,4,5,6,7,8
0,319441,5,31355,27265,0.98,297,0.016,126,0.004
,0,1,2,3,4,5,6,7,8
0,10026123064763,5,240,55,0.98,1,0.02,0,0.0
,0,1,2,3,4,5,6,7,8
0,10025521796806,5,20729,4467,0.96,58,0.012,108,0.028
,0,1,2,3,4,5,6,7,8
0,40302182393,5,23117,10866,0.99,40,0.007,38,0.003
,0,1,2,3,4,5,6,7,8
0,2374364,5,54660,17471,0.98,126,0.015,100,0.005
,0,1,2,3,4,5,6,7,8
0,47908154165,5,27140,8709,0.97,72,0.008,131,0.022
,0,1,2,3,4,5,6,7,8
0,100002581131,5,41811,7554,0.98,65,0.014,50,0.006
,0,1,2,3,4,5,6,7,8
0,100008771512,5,4391,943,0.98,12,0.014,6,0.006
,0,1,2,3,4,5,6,7,8
0,10025161874326,5,3818,507,0.98,5,0.015,3,0.005
,0,1,2,3,4,5,6,7,8
0,100005229916,5,29195,6641,0.99,31,0.009,13,0.001
,0,1,2,3,4,5,6,7,8
0,100010404870,5,136738,50519,0.99,92,0.009,62,0.001
,0,1,2,3,4,5,6,7,8
0,53157442722,5,457,154,0.98,0,0.0,3,0.02
,0,1,2,3,4,5,6,7,8
0,59542474008,5,4720,2608,0.99,14,0.007,9,0.003
,0,1,2,3,4,5,6,7,8
0,100017591030,5,136758,50539,0.99,92,0.009,62,0.001
,0,1,2,3,4,5,6,7,8
0,30571077144,5,20899,9350,0.96,130,0.013,250,0.027
,0,1,2,3,4,5,6,7,8
0,6090921,5,103920,58279,0.98,285,0.004,381,0.016
,0,1,2,3,4,5,6,7,8
0,29811171771,5,10055,6844,0.98,44,0.006,60,0.014
,0,1,2,3,4,5,6,7,8
0,10066082758,5,4690,2046,0.98,19,0.012,18,0.008
,0,1,2,3,4,5,6,7,8
0,680534,5,25642,16611,0.98,164,0.019,28,0.001
,0,1,2,3,4,5,6,7,8
0,100009084885,5,61454,9653,0.97,129,0.021,95,0.009
,0,1,2,3,4,5,6,7,8
0,19221802126,5,12931,7771,0.99,45,0.008,21,0.002
,0,1,2,3,4,5,6,7,8
0,66322726384,5,1696,321,0.99,3,0.01,0,0.0
,0,1,2,3,4,5,6,7,8
0,10690556038,5,213216,102353,0.98,973,0.013,734,0.007
,0,1,2,3,4,5,6,7,8
0,59960957721,5,2756,599,0.98,3,0.004,4,0.016
,0,1,2,3,4,5,6,7,8
0,1877008,5,4340,3336,0.99,14,0.009,5,0.001
,0,1,2,3,4,5,6,7,8
0,41547435808,5,20729,4467,0.96,58,0.012,108,0.028
,0,1,2,3,4,5,6,7,8
0,100014851470,5,61454,9653,0.97,129,0.021,95,0.009
,0,1,2,3,4,5,6,7,8
0,10464576776,5,3235,1956,0.99,12,0.007,7,0.003
,0,1,2,3,4,5,6,7,8
0,100010405136,5,136758,50539,0.99,92,0.009,62,0.001
,0,1,2,3,4,5,6,7,8
0,62651832847,5,1655,279,0.98,2,0.007,3,0.013
,0,1,2,3,4,5,6,7,8
0,2130989,5,39477,25376,0.99,99,0.009,46,0.001
,0,1,2,3,4,5,6,7,8
0,100007206721,5,19054,2967,0.98,27,0.016,13,0.004
,0,1,2,3,4,5,6,7,8
0,65504291895,5,603,146,0.98,1,0.014,1,0.006
,0,1,2,3,4,5,6,7,8
0,30462402162,5,4032,1781,0.99,4,0.002,7,0.008
,0,1,2,3,4,5,6,7,8
0,10024525823144,5,516,56,0.98,1,0.02,0,0.0
,0,1,2,3,4,5,6,7,8
0,27699258053,5,11507,3537,0.99,17,0.006,15,0.004
,0,1,2,3,4,5,6,7,8
0,100008845879,5,286,45,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,100008671301,5,4991,1030,0.98,6,0.005,10,0.015
,0,1,2,3,4,5,6,7,8
0,71410101118,5,4854,891,0.94,25,0.026,29,0.034
,0,1,2,3,4,5,6,7,8
0,317651,5,1978630,1270315,0.99,6085,0.007,4077,0.003
,0,1,2,3,4,5,6,7,8
0,66646224135,5,405,85,0.97,1,0.019,1,0.011
,0,1,2,3,4,5,6,7,8
0,10022976817490,5,713,153,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,100013209642,5,19053,2966,0.98,27,0.016,13,0.004
,0,1,2,3,4,5,6,7,8
0,59542474004,5,4720,2608,0.99,14,0.007,9,0.003
,0,1,2,3,4,5,6,7,8
0,43884714323,5,1136,275,0.98,0,0.0,4,0.02
,0,1,2,3,4,5,6,7,8
0,40302182393,5,23117,10866,0.99,40,0.007,38,0.003
,0,1,2,3,4,5,6,7,8
0,100004580295,5,7915,1730,0.97,26,0.021,16,0.009
,0,1,2,3,4,5,6,7,8
0,10570691157,5,36837,16288,0.99,75,0.006,66,0.004
,0,1,2,3,4,5,6,7,8
0,68025554809,5,4199,1497,0.99,3,0.001,9,0.009
,0,1,2,3,4,5,6,7,8
0,33520546354,5,6089,2862,0.99,9,0.009,5,0.001
,0,1,2,3,4,5,6,7,8
0,25208265143,5,9302,2157,0.97,28,0.012,33,0.018
,0,1,2,3,4,5,6,7,8
0,66644254994,5,280,69,0.97,2,0.03,0,0.0
,0,1,2,3,4,5,6,7,8
0,680536,5,24073,16461,0.99,83,0.009,30,0.001
,0,1,2,3,4,5,6,7,8
0,53673716801,5,4502,910,0.98,8,0.008,9,0.012
,0,1,2,3,4,5,6,7,8
0,4112800,5,32972,5470,0.98,64,0.012,46,0.008
,0,1,2,3,4,5,6,7,8
0,10132774750,5,17078,15021,0.96,297,0.018,314,0.022
,0,1,2,3,4,5,6,7,8
0,10021862188039,5,335,125,0.97,1,0.007,2,0.023
,0,1,2,3,4,5,6,7,8
0,1,4,1,1,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,317651,5,1978629,1270317,0.99,6085,0.007,4077,0.003
,0,1,2,3,4,5,6,7,8
0,10025422490420,5,35954,5486,0.98,66,0.013,44,0.007
,0,1,2,3,4,5,6,7,8
0,26623120986,5,53021,25623,0.99,71,0.009,37,0.001
,0,1,2,3,4,5,6,7,8
0,10032095435,5,19256,16213,0.96,272,0.016,289,0.024
,0,1,2,3,4,5,6,7,8
0,13794537220,5,13470,12056,0.98,56,0.004,71,0.016
,0,1,2,3,4,5,6,7,8
0,10021646898194,5,18732,3034,0.99,15,0.007,12,0.003
,0,1,2,3,4,5,6,7,8
0,10026300780641,5,0,0,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,65102048123,5,80214,16692,0.95,430,0.034,293,0.016
,0,1,2,3,4,5,6,7,8
0,2028155,5,97663,79931,0.98,554,0.016,348,0.004
,0,1,2,3,4,5,6,7,8
0,7819539,5,37806,14063,0.98,94,0.015,84,0.005
,0,1,2,3,4,5,6,7,8
0,62119979016,5,2490,455,0.98,3,0.016,2,0.004
,0,1,2,3,4,5,6,7,8
0,40735712165,5,4075,1125,0.96,24,0.028,15,0.012
,0,1,2,3,4,5,6,7,8
0,10025704620406,5,26,5,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,100002028661,5,1456,271,0.97,2,0.007,6,0.023
,0,1,2,3,4,5,6,7,8
0,62545021554,5,1242,316,0.97,5,0.018,4,0.012
,0,1,2,3,4,5,6,7,8
0,712026,5,21669,15486,0.99,82,0.008,41,0.002
,0,1,2,3,4,5,6,7,8
0,10022771745399,5,15,3,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,30065840656,5,3259,2400,0.98,15,0.006,16,0.014
,0,1,2,3,4,5,6,7,8
0,6090959,5,41601,20810,0.98,138,0.015,118,0.005
,0,1,2,3,4,5,6,7,8
0,39911782125,5,20896,9347,0.96,130,0.013,250,0.027
,0,1,2,3,4,5,6,7,8
0,47065091195,5,1932,575,0.97,9,0.024,4,0.006
,0,1,2,3,4,5,6,7,8
0,66766934901,5,3970,771,0.96,14,0.028,10,0.012
,0,1,2,3,4,5,6,7,8
0,100000491173,5,69871,19591,0.98,129,0.017,78,0.003
,0,1,2,3,4,5,6,7,8
0,100002581129,5,41812,7555,0.98,65,0.014,50,0.006
,0,1,2,3,4,5,6,7,8
0,4044853,5,516019,207519,0.98,1385,0.016,938,0.004
,0,1,2,3,4,5,6,7,8
0,58666958703,5,970,386,0.99,2,0.008,1,0.002
,0,1,2,3,4,5,6,7,8
0,10021157475543,5,1863,329,0.96,2,0.005,9,0.035
,0,1,2,3,4,5,6,7,8
0,100003396061,5,340431,129344,0.98,1636,0.014,897,0.006
,0,1,2,3,4,5,6,7,8
0,52722215837,5,20818,5657,0.96,94,0.016,102,0.024
,0,1,2,3,4,5,6,7,8
0,62273413536,5,4109,733,0.97,8,0.01,13,0.02
,0,1,2,3,4,5,6,7,8
0,10025681160814,5,35,10,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,72115483735,5,5767,1565,0.96,25,0.015,26,0.025
,0,1,2,3,4,5,6,7,8
0,72246061950,5,5769,1567,0.96,25,0.015,26,0.025
,0,1,2,3,4,5,6,7,8
0,10020531518162,5,5254,1692,0.97,15,0.008,32,0.022
,0,1,2,3,4,5,6,7,8
0,58666958703,5,970,386,0.99,2,0.008,1,0.002
,0,1,2,3,4,5,6,7,8
0,100003396061,5,340431,129344,0.98,1636,0.014,897,0.006
,0,1,2,3,4,5,6,7,8
0,46332467411,5,20734,4472,0.96,58,0.012,108,0.028
,0,1,2,3,4,5,6,7,8
0,10022777523202,5,277,49,0.98,0,0.0,1,0.02
,0,1,2,3,4,5,6,7,8
0,10568579295,5,2118,881,0.98,3,0.003,8,0.017
,0,1,2,3,4,5,6,7,8
0,62273413536,5,4109,733,0.97,8,0.01,13,0.02
,0,1,2,3,4,5,6,7,8
0,68025554810,5,4199,1497,0.99,3,0.001,9,0.009
,0,1,2,3,4,5,6,7,8
0,529851,5,16399,10034,0.97,169,0.023,72,0.007
,0,1,2,3,4,5,6,7,8
0,10113614075,5,32188,22471,0.99,132,0.006,91,0.004
,0,1,2,3,4,5,6,7,8
0,65642220402,5,3617,567,0.98,5,0.008,6,0.012
,0,1,2,3,4,5,6,7,8
0,10021266414839,5,801,156,0.96,3,0.028,2,0.012
,0,1,2,3,4,5,6,7,8
0,29083269384,5,2979,2398,0.99,7,0.008,7,0.002
,0,1,2,3,4,5,6,7,8
0,100008845873,5,430,92,0.95,2,0.03,2,0.02
,0,1,2,3,4,5,6,7,8
0,10993255824,5,8598,7886,0.98,45,0.005,58,0.015
,0,1,2,3,4,5,6,7,8
0,10025704620406,5,26,5,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,69674973440,5,1729,310,0.97,2,0.006,6,0.024
,0,1,2,3,4,5,6,7,8
0,59960957722,5,2756,599,0.98,3,0.004,4,0.016
,0,1,2,3,4,5,6,7,8
0,62545021553,5,1242,316,0.97,5,0.018,4,0.012
,0,1,2,3,4,5,6,7,8
0,10020653681098,5,998,221,0.98,2,0.012,2,0.008
,0,1,2,3,4,5,6,7,8
0,100000491175,5,69874,19594,0.98,129,0.017,78,0.003
,0,1,2,3,4,5,6,7,8
0,25347916949,5,3902,1847,0.99,12,0.008,4,0.002
,0,1,2,3,4,5,6,7,8
0,529855,5,12278,8569,0.97,133,0.024,58,0.006
,0,1,2,3,4,5,6,7,8
0,25574166787,5,2378,2166,0.98,17,0.007,27,0.013
,0,1,2,3,4,5,6,7,8
0,10023865479836,5,1,1,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,30527750312,5,7817,4775,0.97,37,0.007,74,0.023
,0,1,2,3,4,5,6,7,8
0,100014474756,5,2838,493,0.96,9,0.017,11,0.023
,0,1,2,3,4,5,6,7,8
0,1,4,1,1,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,35316189607,5,3346,1735,0.98,13,0.013,13,0.007
,0,1,2,3,4,5,6,7,8
0,72202449999,5,4131,2233,0.98,14,0.006,27,0.014
,0,1,2,3,4,5,6,7,8
0,30571077149,5,20896,9347,0.96,130,0.013,250,0.027
,0,1,2,3,4,5,6,7,8
0,45762825236,5,27140,8709,0.97,72,0.008,131,0.022
,0,1,2,3,4,5,6,7,8
0,37428362742,5,4877,2323,0.98,14,0.005,15,0.015
,0,1,2,3,4,5,6,7,8
0,25609256742,5,2043,1774,0.99,10,0.007,7,0.003
,0,1,2,3,4,5,6,7,8
0,735029,5,31352,27264,0.98,297,0.016,125,0.004
,0,1,2,3,4,5,6,7,8
0,100016719594,5,1818,212,0.99,0,0.0,1,0.01
,0,1,2,3,4,5,6,7,8
0,10571588772,5,3754,2658,0.97,25,0.009,30,0.021
,0,1,2,3,4,5,6,7,8
0,100009131640,5,3779,675,0.98,10,0.016,3,0.004
,0,1,2,3,4,5,6,7,8
0,67087126317,5,602,92,0.98,0,0.0,1,0.02
,0,1,2,3,4,5,6,7,8
0,22776514434,5,11884,7817,0.99,36,0.007,24,0.003
,0,1,2,3,4,5,6,7,8
0,10024439216377,5,5,4,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,100009983516,5,205247,94643,0.99,451,0.008,266,0.002
,0,1,2,3,4,5,6,7,8
0,10020342328384,5,20818,5657,0.96,94,0.016,102,0.024
,0,1,2,3,4,5,6,7,8
0,36866372200,5,23118,10867,0.99,40,0.007,38,0.003
,0,1,2,3,4,5,6,7,8
0,34876414029,5,1736,641,0.99,2,0.01,0,0.0
,0,1,2,3,4,5,6,7,8
0,62651832846,5,1655,279,0.98,2,0.007,3,0.013
,0,1,2,3,4,5,6,7,8
0,6161960,5,103921,58280,0.98,285,0.004,381,0.016
,0,1,2,3,4,5,6,7,8
0,21869373251,5,83465,34754,0.97,464,0.021,321,0.009
,0,1,2,3,4,5,6,7,8
0,41770637641,5,425,131,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,57281833402,5,863,190,0.98,1,0.015,1,0.005
,0,1,2,3,4,5,6,7,8
0,100016843500,5,38990,18274,0.99,29,0.01,15,0.0
,0,1,2,3,4,5,6,7,8
0,61235221308,5,1134,370,0.98,1,0.002,4,0.018
,0,1,2,3,4,5,6,7,8
0,4491965,5,166786,102417,0.99,270,0.009,156,0.001
,0,1,2,3,4,5,6,7,8
0,64866469975,5,1426,362,0.97,3,0.008,8,0.022
,0,1,2,3,4,5,6,7,8
0,13021123028,5,3931,2131,0.99,8,0.008,5,0.002
,0,1,2,3,4,5,6,7,8
0,100005567929,5,3776,687,0.98,9,0.015,4,0.005
,0,1,2,3,4,5,6,7,8
0,64938090833,5,161,44,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,10066117714,5,1956,1060,0.98,11,0.014,7,0.006
,0,1,2,3,4,5,6,7,8
0,10026034369516,5,1,0,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,36866372200,5,23118,10867,0.99,40,0.007,38,0.003
,0,1,2,3,4,5,6,7,8
0,33005468549,5,769,306,0.99,0,0.0,1,0.01
,0,1,2,3,4,5,6,7,8
0,11040614009,5,90756,47766,0.99,143,0.002,192,0.008
,0,1,2,3,4,5,6,7,8
0,31504374145,5,2038,1247,0.99,4,0.008,3,0.002
,0,1,2,3,4,5,6,7,8
0,10023076060232,5,17064,2202,0.97,21,0.009,30,0.021
,0,1,2,3,4,5,6,7,8
0,10021646898193,5,18735,3038,0.99,15,0.007,12,0.003
,0,1,2,3,4,5,6,7,8
0,41770637641,5,425,131,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,100016843500,5,38991,18275,0.99,29,0.01,15,0.0
,0,1,2,3,4,5,6,7,8
0,30065840657,5,3259,2400,0.98,15,0.006,16,0.014
,0,1,2,3,4,5,6,7,8
0,64866469975,5,1426,362,0.97,3,0.008,8,0.022
,0,1,2,3,4,5,6,7,8
0,13021123028,5,3931,2131,0.99,8,0.008,5,0.002
,0,1,2,3,4,5,6,7,8
0,10026213160201,5,113,39,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,57591310118,5,27142,8711,0.97,72,0.008,131,0.022
,0,1,2,3,4,5,6,7,8
0,61235221308,5,1134,370,0.98,1,0.002,4,0.018
,0,1,2,3,4,5,6,7,8
0,11273265050,5,33012,26025,0.99,41,0.001,75,0.009
,0,1,2,3,4,5,6,7,8
0,64938090833,5,161,44,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,66309353890,5,3230,933,0.97,10,0.01,17,0.02
,0,1,2,3,4,5,6,7,8
0,100009838383,5,37,5,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,66644254994,5,280,69,0.97,2,0.03,0,0.0
,0,1,2,3,4,5,6,7,8
0,27147056429,5,4210,2768,0.99,2,0.0,8,0.01
,0,1,2,3,4,5,6,7,8
0,65593263922,5,1477,391,0.97,8,0.023,3,0.007
,0,1,2,3,4,5,6,7,8
0,100007350049,5,1462,239,0.95,6,0.03,5,0.02
,0,1,2,3,4,5,6,7,8
0,29644095084,5,14873,7033,0.99,42,0.007,22,0.003
,0,1,2,3,4,5,6,7,8
0,6161958,5,103917,58276,0.98,285,0.004,381,0.016
,0,1,2,3,4,5,6,7,8
0,27827209826,5,76,16,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,27827209826,5,76,16,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,61235221309,5,1133,369,0.98,1,0.002,4,0.018
,0,1,2,3,4,5,6,7,8
0,22776514435,5,11884,7817,0.99,36,0.007,24,0.003
,0,1,2,3,4,5,6,7,8
0,63271280996,5,35954,5486,0.98,66,0.013,44,0.007
,0,1,2,3,4,5,6,7,8
0,100006765387,5,353,71,0.97,1,0.017,1,0.013
,0,1,2,3,4,5,6,7,8
0,1,4,1,1,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,100007018647,5,11572,1796,0.98,20,0.015,10,0.005
,0,1,2,3,4,5,6,7,8
0,2028166,5,11224,8790,0.98,64,0.014,61,0.006
,0,1,2,3,4,5,6,7,8
0,530948,5,59815,38622,0.99,222,0.008,90,0.002
,0,1,2,3,4,5,6,7,8
0,52776899748,5,4829,1683,0.97,27,0.017,23,0.013
,0,1,2,3,4,5,6,7,8
0,67926629968,5,106,31,0.96,0,0.0,1,0.04
,0,1,2,3,4,5,6,7,8
0,67926629968,5,106,31,0.96,0,0.0,1,0.04
,0,1,2,3,4,5,6,7,8
0,53157442721,5,457,154,0.98,0,0.0,3,0.02
,0,1,2,3,4,5,6,7,8
0,100011411238,5,6504,1898,0.98,15,0.007,17,0.013
,0,1,2,3,4,5,6,7,8
0,10020373928668,5,9640,3256,0.97,31,0.009,48,0.021
,0,1,2,3,4,5,6,7,8
0,27827209825,5,76,16,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,69331085136,5,1838,838,0.97,5,0.005,14,0.025
,0,1,2,3,4,5,6,7,8
0,66814841389,5,642,138,0.95,3,0.03,3,0.02
,0,1,2,3,4,5,6,7,8
0,100007163713,5,18950,3113,0.98,25,0.007,31,0.013
,0,1,2,3,4,5,6,7,8
0,10366032471,5,14718,10560,0.97,137,0.012,165,0.018
,0,1,2,3,4,5,6,7,8
0,71410101116,5,4854,891,0.94,25,0.026,29,0.034
,0,1,2,3,4,5,6,7,8
0,10023049296064,5,652,143,0.99,1,0.01,0,0.0
,0,1,2,3,4,5,6,7,8
0,100017345426,5,1373093,421896,0.99,1799,0.008,1055,0.002
,0,1,2,3,4,5,6,7,8
0,53131775690,5,931,237,0.96,3,0.012,6,0.028
,0,1,2,3,4,5,6,7,8
0,100001333084,5,4609,996,0.98,14,0.017,4,0.003
,0,1,2,3,4,5,6,7,8
0,3503670,5,340559,212994,0.99,706,0.008,455,0.002
